prompt,chat,link,date,sent,status,eligible,chat_name,subscription_id
"Всем привет. Нужна помощь, появилась потребность в приобретение бюджетного (до 25000₽) ноутбука для учёбы. Какой купить?","МАСТЕРА ПО РЕМОНТУ БЫТОВОЙ И ЦИФРОВОЙ ТЕХНИКИ (ремонт сотовых телефонов, компьютеров, ноутбуков, телевизоров и т.д)",t.me/help_remont/121837,11/19/2024 2:50am,,,,,
"Подскажите пожалуйста, где можно отремонтировать планшет,но китайский? может у кого то есть такие мастера.Спасибо",ХАРКІВ інфочат,t.me/kharkiv_infochat/494158,11/19/2024 2:52am,,,,,
"Спасибо вам за совет  Зашла в мастерскую по ремонту компов, там у дяди на столе килограмм мелких винтиков. Он мне два подходящих дал за 50 центов. Диск уже вовсю пашет","Испания. IT, связь, электроника",t.me/esp_it/47497,11/19/2024 2:53am,,,,,
"Немного не понял причем тут мультизагрузка, с учетом того, что ошибка была на момент установленной лишь одной основной винды, но окэй",Чат подешевле,t.me/chatpodeshevle/1146692,11/19/2024 2:53am,,,,,
"Подскажите пожалуйста номер телефона , по установке металла пластиковых окон",ОБЪЯВЛЕНИЯ СТАРОБЕЛЬСК,t.me/odyva2022/410715,11/19/2024 2:54am,,,,,
"Девочки помогайте что мне надо скачать ребёнку на телефон а что мне, чтоб я видела. Либру 2 ей установила и запустила датчик",dia.trio | Все секреты компенсации диабета,t.me/dia_trio29/550545,11/19/2024 2:59am,,,,,
"Всё победил, ты прав был, надо было в настройки телефона залезть 👍",300 Криптанцев чат,t.me/cryptancichat/2237557,11/19/2024 3:00am,,,,,
"Нашел ваше фото, только ничего не понятно кроме ваших слов, я не видел как на заводе, только с потолочный, вы написали что сами установили, подскажите чьи планшеты, Huawei?",Voyah Chat,t.me/voyahchat/764786,11/19/2024 3:03am,,,,,
"Я эксперту оплатил 3,5 тр и получил новые окна, ремонт и восстановление плода, замена замка двери, реставрация входной двери 👍",ЖК Датский Квартал,t.me/datski_kvartal/95842,11/19/2024 3:06am,,,,,
В настройках телефона => поверх остальных приложений.,Dostavista | чат курьера,t.me/DostavistaComm/1052195,11/19/2024 3:07am,,,,,
"Проверю, надо уточнить. Может после замены затвора не переставил рав в камере",Фотографы Москвы📸,t.me/photographmoscva/172368,11/19/2024 3:12am,,,,,
"Это не телега, а настройки телефона",Интриги Сертолова 🙈,t.me/fludsertolovo/167999,11/19/2024 3:13am,,,,,
Тут и так русский стоит  Это в настройках телефона язык поменять,Интриги Сертолова 🙈,t.me/fludsertolovo/168002,11/19/2024 3:14am,,,,,
"Доброго времени .   Ребят у меня T-box амбиент   Вопрос 🙋‍♂️ к знающим , каким образом его подключить в компу что бы настроить ?","AIBOX (Carlinkit, Ottocast, CarPlay, Android Auto)",t.me/aibox/338524,11/19/2024 3:14am,,,,,
Зайди в настройки телефона и измени там язык,Интриги Сертолова 🙈,t.me/fludsertolovo/168023,11/19/2024 3:18am,,,,,
"Доброй ночи! Есть у кого-то контакты людей, кто может починить духовой шкаф?  (Коротит при включении)",ЖК «Светлый» | Жители,t.me/svetly_kazan/145006,11/19/2024 3:22am,,,,,
Настройка лампы через телефон,Lampa,t.me/lampa_group/581437,11/19/2024 3:29am,,,,,
"Это я понимаю, просто ж будет ли у нее уже номер дела. Про соседнее окно как-то логичнее, на мой взгляд",Карта Поляка 🇵🇱,t.me/kartapolakaby/89137,11/19/2024 3:30am,,,,,
"Здравствуйте нужен человек ,который сможет придти домой и переустановить винду на компе",Детская барахолка Луганск / ЛНР детские вещи,t.me/detskayadoska/110478,11/19/2024 3:30am,,,,,
"Каким дауном нужно быть, чтобы при вопросе ""это ты на фото?"" установить apk файл?  Это тоже самое, что на винде при таком вопросе запустить exe файл",ЧАТ,t.me/dtp77chat/1006375,11/19/2024 3:30am,,,,,
"Ремонт холодильников промышленных, холодильников бытовых, витрин, ларей, пивных охладителей.",ДОСКА ОБЪЯВЛЕНИЙ МЕЛИТОПОЛЬ - ГЕНИЧЕСК,t.me/BARAHOLKA_MELITOPOL55_2023/1471737,11/19/2024 3:32am,,,,,
"Подскажите, если я установлю DNS на гостевую сеть Keenetic, то работать будет? Или нужен отдельный роутер для этих целей?",vacuum/chat,t.me/vacuum_chat/152167,11/19/2024 3:33am,,,,,
"Проброс ком-порта в настройках рдп, но лучше поставить при установке драйвера ""сервер удаленного подключения"" и искать кассу на tcp по ip или имени сервера, порт 19524",kkmcom,t.me/kkmcom/202878,11/19/2024 3:42am,,,,,
"Одесса, Женщина, 45 лет, ищу работу.  Оператор ПК. Возможна помощь в уборке,  мытье посуды.",Работа в Одессе 📢 | Робота Одеса,t.me/r_odessa/291055,11/19/2024 3:48am,,,,,
У мне  из тебя телефон в ремонт относить пришлось!,Чат Мой и твой Воронеж,t.me/vrn_chatt/2121259,11/19/2024 3:53am,,,,,
С приложениями для впн все более менее понятно. Интересует настроенный роутер под впн. Чтобы работали все устройства с него.  Вроде информация есть что это в принципе реально. Но отзывов нет,ЖК Датский Квартал,t.me/datski_kvartal/95880,11/19/2024 4:01am,checked,checked,checked,,
Прошивку менял из dfu. Та же беда . Телефон ударник был заменен дисплей.,error,t.me/mobility_apple/609326,11/19/2024 4:04am,,,,,
"Проверяйте настройки своего телефона, у вас стоит другая страна.",СахарМонитор. Чат,t.me/saharmonitorchat/316457,11/19/2024 4:05am,,,,,
"Ребят установил на телефоне рут права, а как взламывать онлайн игры не подскажите?",Чат МК,t.me/mknews_chat/3185712,11/19/2024 4:06am,,,,,
Согласен. Но всё же если теоретически есть линия на 36v то с помощью прмблуд можно и телефон зарядить.,Анонсы Запорожье / Анонси Запоріжжя,t.me/povestki4atzp/3081057,11/19/2024 4:07am,,,,,
"Здравствуйте, подскажите пожалуйста  Установила либра 2 джуглукко хдрип на новом телефоне установила апс, перенесла настройки со старого апс, но в новом не работает все время ищет соединение с Райли",СахарМонитор. Чат,t.me/saharmonitorchat/316460,11/19/2024 4:27am,,,,,
АСБ вообще непонятно как давало я за 8мес.ни одной помощи з 3мя детьми а они мне по телефону говорят вы не попали бо у нас обмежени ресурсы.а хто каждые 3мес.получают.как ОНИ ВООБЩЕ ПРОВЕРЯЮТ НЕЯСНО,чат - Гуманітарна допомога - спільнота,t.me/humspilka/632094,11/19/2024 4:34am,,,,,
котяра оказывается любит телевизор  вчера со мной смотрел теперь у меня есть компания для просмотра аркейна ура,Разговор под бодрое рычание,t.me/dogs_talk1/200029,11/19/2024 4:39am,,,,,
"У меня была Электролюкс, к компании Bosch доверие пропало после покупки стиральной машины, которая развалилась после полугода эксплуатации",Царицыно + ЮАО,t.me/Tsaricinstg/355748,11/19/2024 4:42am,,,,,
В тик токе потому что я какнченая дура сбросила настройки с телефона,error,t.me/polmamkichat/8478719,11/19/2024 4:46am,,,,,
"Привет Всем!! Кто знает как установить геншин на планшет, если официально это сделать не получается? Может есть ссылка на установку?",GenshinDrop чат котиков 💚,t.me/genshindropchat/16418574,11/19/2024 4:47am,,,,,
Я на телефон установил книги),Дром ПДД,t.me/pdd_drom/3327656,11/19/2024 4:48am,,,,,
"Здравствуйте! В папке с драйвером есть 2 вот таких файла. Какой из этих файлов следует запустить, чтобы установить драйвер? Какая разница между ними?",Чат системных администраторов,t.me/i_odmin_chat/405565,11/19/2024 4:50am,,,,,
"помощь нужна, господа как понять, какие порты принимает роутер?",EugeneSagaz: Доска Своих Chat,t.me/EugeneSagazChat/10041310,11/19/2024 4:53am,,,,,
На пк установить телеграм и скинуть себе,Дром ПДД,t.me/pdd_drom/3327686,11/19/2024 4:55am,,,,,
"Потому и заменил телефон) Теперь снова зарядка лишь ночью, когда сплю)",Жили-Были в Сербии: Serbia relocation,t.me/serbia_jilibili/139727,11/19/2024 4:59am,,,,,
СРОЧНО  АРТЕЛЬ  ТЕЛЕВИЗОР   САТИЛАДЫ.  БЕЗ  РЕМОНТ    80 ЛЫК.   КЕЛЕСЫМЛЫ. СМАРТ  ЕМЕС.,ОЛХ КУНГРАД,t.me/Uliqbek93/2122978,11/19/2024 5:03am,,,,,
"Спасибо за ответ, в квартире.  Теперь ещё один вопрос, кого можно вызвать что бы открыли доступ для сантехников? Может у вас есть контакты таких людей ?",ЖК Государев дом,t.me/gkgosudarevdom/289057,11/19/2024 5:04am,checked,checked,checked,,
Кунликка ИШ керак ремонт сохасида хамма ИШНИ киламиз 2 кишимиз кунликка болса Сантехника Електрика ишлари болсахам киламиз,Работа в Алматы,t.me/almatada_ish_rabota/656915,11/19/2024 5:05am,,,,,
"У кого есть планшет на андроиде, можно установить в браузер впн? Не отдельно, а именно в браузер (например: как на пк версии в хром можно установить дополнение)",Техно педали!,t.me/tehnopedali/177333,11/19/2024 5:09am,,,,,
"Так, телефон настроен, теле фон успел сесть и зарядится.",OnePlus - OneLove,t.me/OnePlus5_RU/1251424,11/19/2024 5:15am,,,,,
"может у него в настройках роутера что то стоит, что на 5ггц такая низкая скорость выходит, я только завтра смотгу посмотреть",Vimu Player,t.me/vimu_tv/135643,11/19/2024 5:20am,,,,,
"Но может ещё чего натыкал. Проще всего очистить данные приложения в ОС, и все настройки будут умолчательные. И не надо недооценивать мелких ;-)",NUM - No UI Movies,t.me/NUM_No_UI_Movies/241819,11/19/2024 5:26am,,,,,
Надо будет конечно винду установить но способ хороший,СБОРКА ПК | ТЕХНИКА | ИГРЫ | PCDAT,t.me/pcdatchat/539411,11/19/2024 5:33am,,,,,
"Сломан холодильник, может кто-то подсказать мастера? Почему-то перестал холод давать. заранее спасибо 🙏🏻",Калифорния • Лос Анджелес,t.me/LosAngeles_cal/118470,11/19/2024 5:36am,,,,,
Можно мне тоже их контакты пожалуйста. Капает из 1 трубы и краешка полотенцасушителя. Сантехника вызывать да. Насколько я знаю в нашем же был свой сантехник,ЖК Государев дом,t.me/gkgosudarevdom/289063,11/19/2024 5:36am,,checked,checked,,
"Здравствуйте. ул. Заречная 9/3. Ведется ремонт подпорной стены. После демонтажа старых блоков, происходит осыпание грунта, дорога по ул. Заречная начинает в этом месте проседать.",Вячеслав Квон Chat,t.me/vyacheslav_kwon_chat/150155,11/19/2024 5:45am,,,,,
"Короче ребята помогите пожалуйста,скачал игру в tTorrent,точнее только файл ее ,а как установить игру не пойму(делаю ето на телефоне)",Чат AndroidInsider.ru,t.me/androidinsider_oficial/319754,11/19/2024 5:59am,,,,,
"Доброй ночи. Подскажите пожалуйста, как можно посмотреть запись с камеры видео наблюдения которая установлена в подъезде?",ЖК Государев дом,t.me/gkgosudarevdom/289064,11/19/2024 6:08am,,,,,
"Мобильный интернет проверьте, вайфай, в спящем режиме телефон. Сбились настройки. Некоторые игры блокируют. Вариантов много.",Diakids,t.me/diakids/1059636,11/19/2024 6:09am,,,,,
"Неудачи вам сударь. В группах никто не запрещает общаться и предлагать помощь. Причем не по звонку по телефону, как ты. смекаешь?)",Lampa - Плагины,t.me/lampa_plugins/412671,11/19/2024 6:25am,,,,,
"Ремонт холодильников промышленных, холодильников бытовых, витрин, ларей, пивных охладителей.",МЕЛИТОПОЛЬ БАРАХОЛКА,t.me/baraholka_melitopoll555555/1728643,11/19/2024 6:32am,,,,,
"Смотря что вы установили как ключ пикс: мейл, cpf, телефон или ключ, который генерит сам банк Можно посмотреть через вкладку пикс и minhas chaves",Бразилия чат Brazil 🇧🇷 For You,t.me/Brazil_ChatForum/158107,11/19/2024 6:58am,,,,,
Уважаемые ! подскажите сайт где можно НБА посмотреть в нормальном качестве на телевизоре ?Заранее спасибо!,FONBET | ЧАТ,t.me/chat_fonbet/12512270,11/19/2024 7:13am,,,,,
"Здравствуйте, у кого нибудь есть номер мастера по окнам? Что бы отрегулировал их.",Райчихинск (объявления),t.me/Raychikhinsk/426425,11/19/2024 7:19am,checked,checked,checked,,
"В ванной комнате надо сделать ремонт кафель,сантехника,электрика ванна 1,5 на 1,8",Южно-Сахалинск 🇷🇺 🇺🇿 🇰🇬 🇭🇺,t.me/sakhnewgrup/703112,11/19/2024 7:36am,,,,,
"Скиньте кто нибудь рекомендации по чистке телефона,  а то лететь через день с кубы)",CBP One чат,t.me/usacbp/930226,11/19/2024 8:12am,,,,,
Ищу сервис для чисти ноутбука и замены термопасты,Лодзь 🧾 объявления,t.me/lodzobyava/263674,11/19/2024 8:14am,,,,,
Дайте пожалуйста номер сантехника,Доска объявлений | Северобайкальск,t.me/dosbk/162031,11/19/2024 8:15am,checked,checked,checked,,
Страна в ВК у тебя какая стоит. И в настройках телефона какой регион может это как то влияет?,Gran Autismo (VK) X,t.me/vkxchat/1414102,11/19/2024 8:15am,,,,,
Ищите самостоятельно в настройках СВОЕГО телефона. Или спросите на синем форуме опять же в теме СВОЕГО телефона.,Locus,t.me/locus_rus/48739,11/19/2024 8:23am,,,,,
"Утро доброе, не в формате группы, но может есть тут люди разбирающиеся в диагностике/ремонте компьютеров, есть несколько проблем, которые хочется доверить специалисту. Естественно не бесплатно.",Настольные игры Паттайя,t.me/game_ptt/33348,11/19/2024 8:42am,,,,,
"Электрики пайками ремонт делали 2 раза. Первый ремонт 6 месяцев ездил, потом 3 месяцев,",Volkswagen Polo VW Club,t.me/PoloWag/81467,11/19/2024 9:20am,,,,,
"Добрый день! Подскажите, пожалуйста, номер хорошего сантехника🙏🏻",КупиПродай-ка Кавалерово,t.me/kvlbar25/101150,11/19/2024 9:28am,checked,checked,checked,,
"Ремонт холодильников промышленных, холодильников бытовых, витрин, ларей, пивных охладителей.",ДОСКА ОБЪЯВЛЕНИЙ МЕЛИТОПОЛЬ - ГЕНИЧЕСК,t.me/BARAHOLKA_MELITOPOL55_2023/1472240,11/19/2024 9:32am,,,,,
"Но шанс есть все равно, холодильник может сломаться и ситуация изменится",И Грянул Грэм Chat,t.me/grem_chat/2715134,11/19/2024 9:48am,,,,,
Телефон сбрось до заводских настроек🐈‍⬛,StarPets.GG | Общение:),t.me/starpetsgg_chat/19085074,11/19/2024 10:04am,,,,,
"Меня больше смущает,кто продал ему пистолет? Скоро,как в африке все  аборигены с автоматами будут ходить. Нужно телефон экстренной помощи вводить для защиты от таких таксистов.",ReadovChat,t.me/readovchat/18688342,11/19/2024 10:06am,,,,,
О так куплю сухариками чистки сок и телефон,BFG | Общая беседа №2,t.me/bforgame_chat_two/35350277,11/19/2024 10:11am,,,,,
Кто может холодильник посмотреть и отремонтировать?,🛡ОБЪЯВА | Николаевск-на-Амуре | Объявления | Барахолка,t.me/Obyava_NKL/241609,11/19/2024 10:12am,,,,,
Значит телефон слабоват и не отдает нормально . Или что то не так настроили,Changan cs35 Plus NEW клуб 2024 Чанган форум,t.me/changan_cs35plus/321599,11/19/2024 10:14am,,,,,
"В ""приложении"" настройки телефона",Дзен-мани чатик,t.me/zenmoneychat/262130,11/19/2024 10:20am,,,,,
Здравствуйте ! Подскажите пожалуйста телефон мастера по ремонту холодильников.,ОБЪЯВА_СОВГАВАНЬ_ЗАВЕТЫ_ВАНИНО 🛡,t.me/ob_yava/606544,11/19/2024 10:35am,,,,,
"Всем привет 👋 Занимаюсь ремонтом телефонов, ноутбуков и другой мелкой техники. Обращайтесь в ЛС, с удовольствием помогу и починю вашу технику",Patong | Пхукет | чат общение,t.me/phuketpatongchat/38985,11/19/2024 10:48am,,,,,
А также производим ремонт окон любых видов,Барахолка,t.me/nagaevo_sale/404879,11/19/2024 10:55am,checked,checked,checked,,
"...это была конфа разработчиков лагерты в вк, у меня просто была ошибка на пк с установкой, щас уже год прошёл, тем более ору мод даже не на их игру, маразм в кубе",Ирокез — Чат,t.me/irokeclub_chat/8485075,11/19/2024 10:58am,,,,,
"Да, щас возьму кабель 400вольт, оголю контакты и буду за ними бегать по трюмам. Я что зря электрик 😂",EugeneSagaz: Доска Своих Chat,t.me/EugeneSagazChat/10042426,11/19/2024 11:16am,,,,,
Кто знает номер мастера по холодильникам,Барахолка Приазовье,t.me/priaz_baraholka/573211,11/19/2024 11:18am,checked,checked,checked,,
"Холодильник двух камерный Атлант , морозилка работает ,а холодильник вторую часть нужно ремонт",Барахолка г. Аркалык,t.me/bazarark/144053,11/19/2024 11:42am,,,,,
"Здравствуйте. Подскажите, пожалуйста, где можно отремонтировать старый чёрно-белый принтер.",Вопрос-Ответ (Навои),t.me/navoiuz1/251575,11/19/2024 11:43am,,,,,
РЕМОНТ ХОЛОДИЛЬНИКОВ,🔴 РЕКЛАМА МЕЛИТОПОЛЬ 🫶,t.me/reklama_melitopol/959655,11/19/2024 11:44am,,,,,
Подскажите пожалуйста номер электрика,Объявления Чегдомын.,t.me/ChegdomynOB/85148,11/19/2024 11:50am,checked,checked,checked,,
"Доброе утро, кто подскажет установщика стиральной и сушильной машинки, номер телефона пожалуйста",ЖК Одинцово-1 (чат),t.me/odintsovo1_chat/1076149,11/19/2024 11:53am,checked,checked,checked,,
Подскажите специалиста по ремонту телефона,Нячанг Объявления 🇻🇳 Чат 🇻🇳 Барахолка,t.me/nyachang_1/162274,11/19/2024 11:54am,,,,,
В настройках андроида ? Или есть вкладка отдельная для камеры?,Changan UNI V клуб Чанган Юни В,t.me/changanuniv/434879,11/19/2024 11:55am,,,,,
"Кто прошился на car play,у всех собеседник по телефону жалуется на то что очень плохо слышно?лечится как то,может в настройках?до прошивки вроде как все хорошо было",Geely Tugella клуб Джили Тугела Knewstar 001 форум,t.me/geely_tugella/821554,11/19/2024 11:58am,,,,,
Доброе утро. Порекомендуйте пожалуйста мастера кто может отрегулировать окна.,ЖК HOMECITY чат соседей,t.me/homecity_chat/126322,11/19/2024 12:00pm,checked,checked,checked,,
"Здравствуйте, дайте пожалуйста номер сантехника если у вас есть",Авиагородок (Учувчилар махалла) Ташкент,t.me/aviagorodok_uchuvchilar_s/153842,11/19/2024 12:01pm,,,,,
"Доброго времени суток   Кто знает, как настроить в китайском смарте гугл объектив так, чтобы при взмахе с правого угла вверх открывался? Как на самсунге или глобал ван пласах и тд? Телефон Oppo f7u",Realme клуб от Mobiltelefon,t.me/realmeclub/291711,11/19/2024 12:04pm,,,,,
"Есть же какой-то добрый индус, который сортирует все на свете. От Самсунг калькулятора и муйня камеры до настроек лося",tr/MTSLCamera | Группа,t.me/trCameraRussianChat/605568,11/19/2024 12:05pm,,,,,
У кого нибудь есть номер сантехников? Пожалуйста скиньте,Авиагородок (Учувчилар махалла) Ташкент,t.me/aviagorodok_uchuvchilar_s/153845,11/19/2024 12:12pm,,,,,
Добрый день. Где чинят духовки. И можно номер телефона.,КупиПродай-ка Кавалерово,t.me/kvlbar25/101175,11/19/2024 12:19pm,,,,,
"Телефон, надо учиться с настройками, но чёт времени ноль на это 😔",Автолюбители Колпино,t.me/avtokolpino/439549,11/19/2024 12:21pm,,,,,
У аннеск есть блок с его помощью можно любые делать,Чат Тильдошной,t.me/tildoshnayachat/623685,11/19/2024 12:22pm,,,,,
"Есть контакт мастера, который устранил течь на двух окнах. Но надо быть готовым, что с внутренней стороны откосы придется ремонтировать","13к3 Болталка (23 стр.к.), Саларьево Парк",t.me/salpark23/57721,11/19/2024 12:22pm,checked,checked,checked,,
Так это в телефоне. Настройки - основные - хранилище - потом выбираю вб - и вот такое как на скрине предлагает сразу,Рыжий М. — Чат,t.me/redmilliard_chat/477360,11/19/2024 12:25pm,,,,,
Квартиры ремонт под ключ электрик сантехник дверь потолок крыши ламинат обои песка блок фронтон барын кылабыз сапату,ӨЗГӨН ЖАМААТ 🇰🇬,t.me/ozgon/1290282,11/19/2024 12:31pm,,,,,
"Ремонт холодильников промышленных, холодильников бытовых, витрин, ларей, пивных охладителей.",ДОСКА ОБЪЯВЛЕНИЙ МЕЛИТОПОЛЬ - ГЕНИЧЕСК,t.me/BARAHOLKA_MELITOPOL55_2023/1472638,11/19/2024 12:32pm,,,,,
Вот настроила заново всё ещё раз в 8.11. перезагрузила оба телефона. И  то же самое,SIBIONICS / Hematonix / SugarMagic / SibiGlucoPro. Непрерывный мониторинг.,t.me/SiBionics/173625,11/19/2024 12:36pm,,,,,
"А как нужно спрашивать? Приложение на телефоне, андроид. Не через msx  установлена. Плагины из закрепа",Lampa - Плагины,t.me/lampa_plugins/412701,11/19/2024 12:38pm,,,,,
Здравствуйте! Хотел узнать как дидокс на телефон установить,Didox.uz - Savol-javob | Вопросы и ответы,t.me/didox_uz/1671862,11/19/2024 12:41pm,,,,,
попробуй переустановить приложение и перегрузить телефон,ДОСТАВИСТА ЧАТ (КУРЬЕРЫ ПО МОСКВЕ И РФ),t.me/dostavista_unofficial/2951225,11/19/2024 12:43pm,,,,,
"Здравствуйте, подскажите пожалуйста кто занимается ремонтом холодильников?",НОВОПСКОВ SOS 🆘🔔💬,t.me/Novopskov1/529358,11/19/2024 12:47pm,,,,,
Кто занимается ремонтом телефонов? Смартфон,Ногайский район,t.me/noghay05/58124,11/19/2024 12:50pm,,checked,checked,,
"Здравствуйте, дайте пожалуйста номер телефона,кто предоставляет услуги сантехника?!)",ОБЪЯВЛЕНИЯ НА АКАТУЙСКОМ,t.me/usascore/54341,11/19/2024 12:56pm,checked,checked,checked,,
Здравствуйте всем кто знает номер телефона сантехников 12мик. Шеркат не берут трубку.,Reserv ZG TK,t.me/ZG_telefonnaya_kniga/177054,11/19/2024 1:00pm,,,,,
Обменяю тир  На телефон  Модель KRAL ARMS  Коробка есть  Надо починить  Как на фото видно  Но стреляет 💯% Не пружиновый  А пневматический  Мощный  Обмен на айфон 8 желательно,🇰🇬 Электроника Токмок,t.me/reklamatokmoksot/1071380,11/19/2024 1:03pm,,,,,
За есим не надо бегать😂она от завода установлена в телефон.  Главный момент не во всех телефонах она есть.,Суйфэньхэ на связи YouTube канал 绥芬河在线,t.me/chinasfh/168323,11/19/2024 1:07pm,,,,,
Эй бот ремонт телефона,Пхукет,t.me/phuket/2134512,11/19/2024 1:07pm,,,,,
Может кто-то может посоветовать мастера? Или это все? Новую надо покупать стиралку?,"ЖК ""Сердце Столицы""",t.me/moscowheart/264414,11/19/2024 1:12pm,checked,checked,checked,,
"Ищу мастера, который может починить холодильник. В лс пожалуйста🙏🏻",CypRus Helpers,t.me/CupRusHelpers/183317,11/19/2024 1:17pm,,,,,
"Доброе утро всем. Есть ли в чате человека который чинит стиралки? Или может обращались когда то, поделитесь контактами пожалуйста. Заранее спасибо 🙏🏻",ЖК «Светлый» | Жители,t.me/svetly_kazan/145011,11/19/2024 1:19pm,,checked,checked,,
"Доброе утро. Подскажите в чем проблема?  Захожу с компьютера выдаёт вот так, захожу с телефона всё ок.  Расширение переустановила, не помогло",Нейромаркет Чат,t.me/neuromarket_chat/47828,11/19/2024 1:21pm,,,,,
"Здравствуйте. Как и где настроить доступ к камерам в пвз для озон? Видела обучалку, но не помню, как называлась и сам процесс поочередно не помню, что за чем идет",Озон - агентские ПВЗ,t.me/ozonpvz/899009,11/19/2024 1:22pm,,,,,
Добрый день подскажите пожалуста номер телефона кто занимается ремонтом коробки автомат в Луганске? Заранее спасибо,АвтопомощьЛНР / Луганский Водитель / Обстановка на дорогах,t.me/avtopomoshlnr/182843,11/19/2024 1:22pm,,,,,
"Ремонт компьютеров , телефонов , планшетов, ноутбуков , замена термо пасты и т.д Махмутлар))",🇹🇷 Махмутлар Алания чат,t.me/mahmutlarru_chat/215629,11/19/2024 1:23pm,,,,,
"Здравствуйте, Подскажите пожалуйста номер сантехника",Очень Полезный Бот,t.me/kritkadallas/220726,11/19/2024 1:24pm,,,,,
"Доброго времени суток. Подскажите кто сталкивался с такой проблемой у камеры DS-2SE4C425MWG-E, после отключения света сбрасывается на заводские настройки. Как с этим бороться? Благодарю.",Hikvision Chat,t.me/hikvision_chat/181712,11/19/2024 1:24pm,,,,,
"Надо кстати будет поиграть в Фар край 3, на сайте написано что мой комп потянет его на рекомендованных настройках.",Чат 🌧Сад фурри🌧,t.me/FurryChatsad/14601705,11/19/2024 1:27pm,,,,,
"Да, но если на роутере настроить его, как резервный ван, без vlan он же не будет свой трафик интернет в него пускать, пока у него основной канал, не упадёт.",KEENETIC,t.me/Keenetic_ru/827520,11/19/2024 1:27pm,,,,,
Ромик это дорого поэтому если у вас есть в телефоне eSIM установить Alipay купить нормальную симкарту и пользуйтесь интернетом не переплачивая,Уезжант форум - Едем в Китай | эмиграция чат,t.me/forum_china/266190,11/19/2024 1:32pm,,,,,
"Вообщем помогло , DCOMCNFG -  тут доп разрешения сделал secpol.msc - uac отключил и явно в настройках wmi на root и cimv2 ветку дал права учетке компа","MEM, ConfigMgr, SCCM, Intune",t.me/configmgr/305792,11/19/2024 1:32pm,,,,,
В чате нейромаркета писали что можно на телефон и на 🍏 и на андроид установить. Только у меня 🍏 на него не смогла почему-то,Qubba - чат @qubbabot 📦,t.me/qubbachat/70616,11/19/2024 1:33pm,,,,,
Кто знает номер телефона мастера по ремонту газовых котлов в Геническе?  Напишите в личные сообщения.,ГЕНИЧЕСК РЫНОК ОНЛАЙН РЕКЛАМА ХЕРСОНСКАЯ ОБЛАСТЬ,t.me/rynokgenichesk/2055910,11/19/2024 1:37pm,,,,,
Ассалам алейкум ❕ электрик борм квартира ремонт 🛠️,Королёв работа,t.me/korolev_post/146911,11/19/2024 1:38pm,checked,checked,checked,,
А приоритет ставиться в настройках телефона.,Суйфэньхэ на связи YouTube канал 绥芬河在线,t.me/chinasfh/168344,11/19/2024 1:40pm,,,,,
"В модеме и так местная сим установлена, компьютер не подключала, ко всем телефоном подключилась без проблем",Уезжант форум - Едем в Китай | эмиграция чат,t.me/forum_china/266200,11/19/2024 1:44pm,,,,,
"соседи, возможно выше уже писали про мастеров но спрошу еще раз есть у кого контакты сантехника? в ванной надо прокладку у шланга стиральной машины поменять буду очень благодарна",Бутово Парк 2 - Дрожжино чат,t.me/butovopark_2b_chat/258326,11/19/2024 1:45pm,checked,checked,checked,,
Сантехника электрика ремонт квартир под ключ 🗝️,ЗОЛОТЫЕ РУКИ®💯,t.me/ZOLOTIYERUKI/2365646,11/19/2024 1:46pm,checked,checked,checked,,
Посоветуйте пожалуйста ремонт телефонов,"Черноморский 1 и 2 | Соседи, Новороссийск",t.me/novorossiisk_pik/103288,11/19/2024 1:51pm,,,,,
Доброго всем дня ! Может кто знает на Высокой горе электрика по сигнализации дайте номер пожалуйста,Биектау Высокая гора Chat,t.me/chat_biektay/147479,11/19/2024 1:51pm,,,,,
"Доброе утро всем!Подскажите телефон хорошего сантехника, пожалуйста.",error,t.me/suharevoir/154342,11/19/2024 1:52pm,,,,,
"Ну раз уж покупаете сами, то берите либру 2, сиби или хематоникс. Без доп обвесов будет вам лить сахар постоянно в телефон. Настроите сигналы В следующем году в школу идет ребёнок?",Diakids,t.me/diakids/1059714,11/19/2024 1:53pm,,,,,
Подскажите пожалуйста может у кого есть номер хорошего мастера по ремонту холодильников. Заранее спасибо.,SokoLife[sale],t.me/sokolSale/69708,11/19/2024 1:53pm,,,,,
Доброе утро. Подскажите телефон хорошего мастера по ремонту стиральных машин.,"Мариупольский чат ""Дружба""",t.me/mariupol_druzhba/973782,11/19/2024 1:56pm,,,,,
"Доброе утро. Дайте пожалуйста номер мастера по холодильникам) а то дали уже , а он с Ростова 😂",АНТРАЦИТ В ЦЕНТРЕ СОБЫТИЙ,t.me/fudutsfggjgduts/244972,11/19/2024 1:59pm,checked,checked,checked,,
"Он, случайно, не имеет какое то отношение к ремонту холодильников?",Бутово Парк 2 - Дрожжино чат,t.me/butovopark_2b_chat/258337,11/19/2024 2:03pm,,,,,
"Здравствуйте! В камере никакой капитальный ремонт не производится, Вы путаете. Камера до сих пор парит!",Чат с жителями Апрелевка,t.me/chataprelevkaTU/45598,11/19/2024 2:08pm,checked,checked,checked,,
"Добрый день, кто-нибудь знает проверенных мастеров по изготовлению козырьков над окном? От дождя, снега и верхних соседей со свисающими пододеяльниками?",2024 Relocation / Армения 🇦🇲,t.me/armrelo2022/141331,11/19/2024 2:11pm,,,,,
